City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
Kodiak,US,57.79,-152.41,28.4,46,20,8.05,few clouds
Hithadhoo,MV,-0.6,73.08,83.26,71,6,4.52,clear sky
Tual,ID,-5.67,132.75,83.32,71,30,6.96,scattered clouds
Zyryanskoye,RU,56.83,86.63,32.9,96,100,18.45,overcast clouds
Oranjemund,NA,-28.55,16.43,61.2,90,95,10.13,overcast clouds
Turbat,PK,26.0,63.04,78.15,14,0,4.18,clear sky
Sisimiut,GL,66.94,-53.67,21.45,92,94,13.29,overcast clouds
Sydney,AU,-33.87,151.21,59.0,87,75,26.4,shower rain
Kawalu,ID,-7.38,108.21,85.32,64,99,4.92,moderate rain
Busselton,AU,-33.65,115.33,78.01,32,0,0.58,clear sky
Biak,ID,-0.91,122.88,86.97,57,6,0.47,light rain
Kahului,US,20.89,-156.47,86.0,55,40,11.41,scattered clouds
Punta Arenas,CL,-53.15,-70.92,46.4,87,99,6.93,light rain
Lazaro Cardenas,MX,17.96,-102.2,75.63,74,0,5.1,clear sky
Kapaa,US,22.08,-159.32,80.6,83,1,9.17,clear sky
Mahebourg,MU,-20.41,57.7,71.6,88,75,3.36,shower rain
Jamestown,US,42.1,-79.24,54.0,50,1,11.41,clear sky
Ipixuna,BR,-1.76,-48.8,77.0,94,40,4.7,light rain
Hobart,AU,-42.88,147.33,61.0,41,75,10.29,broken clouds
Qui Nhon,VN,13.77,109.23,73.58,91,100,11.52,moderate rain
Medina Del Campo,ES,41.31,-4.91,48.0,93,90,20.8,overcast clouds
Codrington,AU,-38.27,141.97,56.08,63,37,14.29,scattered clouds
Rikitea,PF,-23.12,-134.97,73.74,67,11,8.3,few clouds
Atuona,PF,-9.8,-139.03,78.6,78,1,21.34,light rain
Butaritari,KI,3.07,172.79,81.97,71,95,7.63,overcast clouds
Vaini,TO,-21.2,-175.2,78.8,74,20,11.41,few clouds
Puerto Carreno,CO,6.19,-67.49,77.29,90,96,4.07,overcast clouds
Forestville,US,38.85,-76.88,55.99,81,1,9.17,clear sky
Namibe,AO,-15.2,12.15,67.06,70,1,2.73,clear sky
Tasiilaq,GL,65.61,-37.64,28.4,50,76,14.99,broken clouds
Katsuura,JP,35.13,140.3,66.99,42,20,5.82,few clouds
Tuktoyaktuk,CA,69.45,-133.04,8.6,84,75,5.82,broken clouds
Buluang,PH,13.31,123.34,84.51,76,100,1.28,light rain
Mulege,MX,26.88,-111.98,77.16,49,94,7.07,overcast clouds
Dwarka,IN,22.24,68.97,81.37,49,0,2.93,clear sky
Naron,ES,43.52,-8.15,55.0,74,22,21.0,few clouds
Puerto Ayora,EC,-0.74,-90.35,70.0,80,100,8.01,overcast clouds
Yellowknife,CA,62.46,-114.35,1.99,84,75,11.41,light snow
Mutsu,JP,41.29,141.22,55.4,46,75,23.04,broken clouds
Aljezur,PT,37.32,-8.8,56.7,80,86,2.57,overcast clouds
Yamada,JP,39.47,141.95,57.2,46,22,11.81,few clouds
Kavieng,PG,-2.57,150.8,78.85,91,100,17.29,moderate rain
Saint George,US,37.1,-113.58,64.4,25,1,3.36,clear sky
Ostrovnoy,RU,68.05,39.51,37.15,85,90,18.12,overcast clouds
Mariinsk,RU,56.21,87.75,32.45,97,100,17.67,overcast clouds
Jamame,SO,0.07,42.75,78.73,81,53,5.14,moderate rain
Nandgaon,IN,20.32,74.65,78.28,34,0,2.84,clear sky
Nawa,IN,27.02,75.0,77.58,18,0,2.77,clear sky
Bluff,NZ,-46.6,168.33,52.0,87,100,8.01,light rain
Buraydah,SA,26.33,43.98,59.0,38,0,8.25,clear sky
Chimichagua,CO,9.26,-73.81,74.97,97,93,2.42,moderate rain
Narsaq,GL,60.92,-46.05,26.6,86,100,3.36,snow
Lumby,CA,50.25,-118.97,48.0,87,100,2.24,overcast clouds
Pisco,PE,-13.7,-76.22,64.0,88,0,5.82,clear sky
Mityana,UG,0.42,32.02,71.6,94,20,2.24,thunderstorm
Ust-Ilimsk,RU,58.0,102.66,25.86,96,100,12.82,light snow
Mount Isa,AU,-20.73,139.5,102.2,10,0,12.75,clear sky
Ushuaia,AR,-54.8,-68.3,50.0,76,0,8.05,clear sky
Tuatapere,NZ,-46.13,167.68,52.0,87,100,8.01,overcast clouds
Cabanas,CU,22.98,-82.92,77.0,94,75,11.41,broken clouds
Bengkulu,ID,-3.8,102.27,85.51,62,100,3.56,moderate rain
Rocha,UY,-34.48,-54.33,50.83,93,0,6.08,clear sky
Castro,BR,-24.79,-50.01,50.97,94,93,11.23,overcast clouds
Maniitsoq,GL,65.42,-52.9,24.75,89,88,5.03,light snow
Te Anau,NZ,-45.42,167.72,57.85,89,100,4.47,overcast clouds
Kpandae,GH,8.47,-0.01,78.24,80,100,4.25,overcast clouds
Zhigansk,RU,66.77,123.37,3.33,93,100,5.44,overcast clouds
Severo-Kurilsk,RU,50.68,156.12,36.55,82,98,32.3,overcast clouds
